INITIATIVE_NAME,SURVEY_NAME,SITE_NAME,SITE_COUNTRY,SITE_REGION,SITE_PRODUCT,GROUP_NAME,SUB_GROUP,VALUE_CHAIN,PRODUCT,COUNTRY,ENTITY,PLANT,EFFECTIVE_YEAR,CATEGORY,QUESTION,ANSWER,SCORE,TOTAL_SCORE_BY_INITIATIVES,CLASSIFICATION_LEVEL,PROVIDENCE_AND_EVIDENCE,VERIFICATION_STATUS,ASSURANCE_STATUS,NOTES,QUESTION_INSTRUCTIONS
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,Which of these statements best fits the proximity nutrition education programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618993/6790863ce3d19163ab9d6b3a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,Do you have indicators to measure the progress or impact of this programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab61899f/6790863ce3d19163ab9d6b3e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,"If applicable, which of the following best describes the level at which you measure your programme?","None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab6189ab/6790863ce3d19163ab9d6b42,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,To what extent is your programme integrated into the workplace or organisation policy?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab6189b7/6790863ce3d19163ab9d6b46,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,Which of these statements best describes your nutrition related health checks and follow-up programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab6189c3/6790863ce3d19163ab9d6b4a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,Which of these statements best describes the frequency at which health checks are made available to workers?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab6189cf/6790863ce3d19163ab9d6b4e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,Which of these statements best describes the type of follow-up or counselling offered toworkers?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab6189dc/6790863ce3d19163ab9d6b52,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,To what percentage of your workforce is the programme available to?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab6189e8/6790863ce3d19163ab9d6b56,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,Which of these statements best describes the affordability to workers of the healthchecks?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab6189f4/6790863ce3d19163ab9d6b5a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,Which of these statements best describes the affordability to workers of the counselling?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a00/6790863ce3d19163ab9d6b5e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,Do you have indicators to measure the progress or impact of this programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a0c/6790863ce3d19163ab9d6b62,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,"If applicable, which of the following best describes the level at which you measure your programme?","None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a18/6790863ce3d19163ab9d6b66,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Related Health Checks And Follow-Up,To what extent is your programme integrated into the workplace or organisation policy?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a24/6790863ce3d19163ab9d6b6a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,"Which of these statements best fits the description of the food and drink items made available to workers through catering, vending, and/ or retail?","None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a30/6790863ce3d19163ab9d6b6e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,Which of these statements best fits the way food and drink items are being provided or served in your organisation?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a55/6790863ce3d19163ab9d6b72,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,Which of these statements best fits your healthy food at work programme design and implementation?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a61/6790863ce3d19163ab9d6b76,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,Which of these statements best fits the frequency at which snacks are made available to workers?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a6d/6790863ce3d19163ab9d6b7a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,Which of these statements best fits the frequency at which meals are made available to workers?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a79/6790863ce3d19163ab9d6b7e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,To what percentage of your workforce is any element of your healthy food at work programme available to?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a85/6790863ce3d19163ab9d6b82,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,Which of these statements best describes the affordability to workers of the programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a91/6790863ce3d19163ab9d6b86,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,Which of these statements best fits the proximity of the healthy food at work programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a9d/6790863ce3d19163ab9d6b8a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,Do you have indicators to measure the progress or impact of this programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618aa9/6790863ce3d19163ab9d6b8e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,"If applicable, which of the following best describes the level at which you measure your programme?","None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a3c/6790863ce3d19163ab9d6b92,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Healthy Food at Work,To what extent is your programme integrated into the workplace or organisation policy?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a49/6790863ce3d19163ab9d6b96,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Which of these statements best describes the breaks allocated to workers as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ab5/6790863ce3d19163ab9d6b9a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Which of these statements best describes the space(s) available to workers as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ae5/6790863ce3d19163ab9d6b9e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Which of these statements best describes your maternity leave available to workers in this location as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618af1/6790863ce3d19163ab9d6ba2,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Which of these statements best describes your parental leave available to workers in this location as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618afd/6790863ce3d19163ab9d6ba6,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Which of these statements best describes your non-dismissal policy applicable to workers in this location as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b09/6790863ce3d19163ab9d6baa,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Which of these statements best describes the extent to which the workers are engaged in the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b15/6790863ce3d19163ab9d6bae,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,To what percentage of your workforce is the workplace breastfeeding support programme available to?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b21/6790863ce3d19163ab9d6bb2,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,To what percentage of your workforce is the aforementioned maternity and parental leave policy available to?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b2d/6790863ce3d19163ab9d6bb6,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Which of these statements best describes the proximity of the breastfeeding support spaces available to the workforce?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b39/6790863ce3d19163ab9d6bba,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,Do you have indicators to measure the progress or impact of this programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ac1/6790863ce3d19163ab9d6bbe,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,"If applicable, which of the following best describes the level at which you measure your programme?","None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618acd/6790863ce3d19163ab9d6bc2,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Breastfeeding Support,To what extent is your programme integrated into the workplace or organisation policy?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ad9/6790863ce3d19163ab9d6bc6,created,,{},
Olam Agri India Pvt Ltd,2024 Workforce Nutrition,Gurgaon office,India,Asia,All Products,Olam Group,Olam Global Agri,,All Products,India,Olam Agri India Pvt Ltd,,2024,Custom Metric,Workforce Nutrition Expenses,3000,,30,BRONZE,https://singapore.g17.eco/universal-tracker-provenance/6715f40ce12cabd795797e65/679b0945a04c8ee4ae4a68ce,verified,,{},
Olam Agri India Pvt Ltd,2024 Workforce Nutrition,Gurgaon office,India,Asia,All Products,Olam Group,Olam Global Agri,,All Products,India,Olam Agri India Pvt Ltd,,2024,Custom Metric,Workforce Strength,369,,30,BRONZE,https://singapore.g17.eco/universal-tracker-provenance/672c77d19558051bacde2363/679b0945a04c8ee4ae4a68d6,verified,,{},
